Date,MTUM,QUAL,SIZE,USMV,VLUE
2014-01-02,52.704,48.351,48.986,29.338,47.054
2014-01-03,52.792,48.256,48.722,29.33,46.999
2014-01-06,52.677,48.067,48.722,29.263,46.991
2014-01-07,53.112,48.455,48.731,29.43,47.253
2014-01-08,53.502,48.437,48.731,29.422,47.253
2014-01-09,53.6,48.411,48.629,29.464,47.15
2014-01-10,53.706,48.515,48.629,29.606,47.301
2014-01-13,52.766,47.843,48.978,29.305,46.975
2014-01-14,53.573,48.394,48.748,29.48,47.126
2014-01-15,53.573,48.636,49.055,29.539,47.428
2014-01-16,53.608,48.661,48.944,29.555,47.197
2014-01-17,53.325,48.532,48.893,29.514,47.094
2014-01-21,53.742,48.722,48.893,29.522,47.158
2014-01-22,53.99,48.601,49.148,29.522,47.229
2014-01-23,53.378,48.239,49.148,29.313,46.697
2014-01-24,52.047,47.239,47.939,28.846,45.799
2014-01-27,51.515,46.86,47.803,28.721,45.568
2014-01-28,52.083,46.946,47.854,28.879,45.568
2014-01-29,51.355,46.541,47.854,28.629,45.568
2014-01-30,52.482,46.886,48.033,28.879,45.735
2014-01-31,52.021,46.67,48.033,28.729,45.632
2014-02-03,50.628,45.576,48.033,28.112,45.123
2014-02-04,51.169,45.929,47.096,28.287,44.837
2014-02-05,51.009,45.8,47.096,28.262,44.686
2014-02-06,51.604,46.36,47.096,28.495,45.29
2014-02-07,52.704,47.084,47.913,28.854,45.417
2014-02-10,52.775,47.188,48.152,28.929,45.791
2014-02-11,53.484,47.696,48.152,29.238,46.371
2014-02-12,53.511,47.8,48.152,29.238,46.347
2014-02-13,54.07,48.11,49.08,29.43,46.665
2014-02-14,54.247,48.317,49.08,29.589,46.848
2014-02-18,54.629,48.489,49.08,29.672,47.007
2014-02-19,54.274,48.136,49.676,29.564,46.903
2014-02-20,54.797,48.498,49.676,29.756,47.046
2014-02-21,54.691,48.394,49.778,29.722,46.959
2014-02-24,55.241,48.661,49.881,29.764,46.959
2014-02-25,55.17,48.601,49.881,29.764,47.11
2014-02-26,55.134,48.765,49.991,29.773,47.11
2014-02-27,55.48,48.894,49.991,29.881,47.11
2014-02-28,55.516,48.954,49.991,29.99,47.444
2014-03-03,55.037,48.489,49.949,29.781,47.102
2014-03-04,56.154,49.308,50.562,30.19,47.817
2014-03-05,56.243,49.179,50.443,30.123,47.793
2014-03-06,56.137,49.213,50.443,30.106,47.984
2014-03-07,55.977,49.075,50.502,30.181,48.048
2014-03-10,56.013,49.161,50.502,30.156,48.008
2014-03-11,55.604,49.041,50.341,30.123,47.682
